lat,lon
26.3008,73.0224
26.3007,73.0224
26.3007,73.0223
26.3007,73.0223
26.3007,73.0222
26.3006,73.0222
26.3006,73.0222
26.3006,73.0221
26.3006,73.0221
26.3005,73.0221
26.3005,73.0221
26.3002,73.0222
26.3,73.0222
26.2999,73.0222
26.2998,73.022
26.2997,73.0219
26.2997,73.0216
26.2998,73.0214
26.2997,73.0213
26.2995,73.0211
26.2992,73.0208
26.2991,73.0208
26.2991,73.0208
26.2991,73.0208
26.299,73.0208
26.2989,73.0209
26.2988,73.0209
26.2988,73.0209
26.2987,73.0209
26.2987,73.0209
26.2986,73.0208
26.2982,73.0208
26.298,73.0207
26.2978,73.0207
26.2974,73.0205
26.297,73.0204
26.2967,73.0202
26.2964,73.02
26.2962,73.0199
26.296,73.0197
26.2959,73.0196
26.2957,73.0196
26.2956,73.0194
26.2956,73.0194
26.2955,73.0193
26.2954,73.0193
26.2952,73.0194
26.2951,73.0194
26.2949,73.0194
26.2948,73.0193
26.2948,73.0193
26.2945,73.0193
26.2945,73.0193
26.2945,73.0192
26.2944,73.019
26.2942,73.0186
26.2939,73.0181
26.2939,73.0181
26.2938,73.0179
26.2937,73.0176
26.2936,73.0175
26.2933,73.0171
26.293,73.0162
26.2928,73.0156
26.2927,73.0156
26.2927,73.0154
26.2925,73.0149
26.2924,73.0147
26.2923,73.0146
26.2922,73.0144
26.2921,73.0145
26.292,73.0145
26.2917,73.0145
26.2917,73.0145
26.2915,73.0147
26.2913,73.0147
26.2912,73.0147
26.2911,73.0147
26.291,73.0146
26.291,73.0145
26.2909,73.0145
26.2908,73.0144
26.2908,73.0144
26.2908,73.0144
26.2906,73.0144
26.2905,73.0145
26.2904,73.0145
26.2903,73.0143
26.2903,73.0143
26.2903,73.0142
26.2903,73.0142
26.2903,73.0142
26.2903,73.0141
26.2903,73.0141
26.2903,73.014
26.2902,73.0138
26.2901,73.0138
26.2899,73.0137
26.2898,73.0137
26.2897,73.0134
26.2897,73.0132
26.2896,73.0131
26.2895,73.013
26.2891,73.0127
26.2891,73.0127
26.289,73.0126
26.2884,73.0124
26.2881,73.0119
26.2879,73.0117
26.2879,73.0117
26.2877,73.0116
26.2876,73.0115
26.2875,73.0115
26.2869,73.0111
26.2868,73.0111
26.2865,73.011
26.2865,73.011
26.2863,73.0108
26.2856,73.01
26.2851,73.0095
26.2849,73.0094
26.2848,73.0093
26.2848,73.0092
26.2844,73.0089
26.2835,73.008
26.283,73.0075
26.2827,73.0071
26.2824,73.0068
26.2822,73.0066
26.2818,73.0063
26.2816,73.006
26.2814,73.0058
26.2813,73.0057
26.2807,73.0052
26.2807,73.0052
26.2807,73.0052
26.2807,73.0052
26.2807,73.0051
26.2807,73.0051
26.2806,73.0051
26.2806,73.0051
26.2806,73.0051
26.2805,73.0051
26.2804,73.0051
26.2803,73.005
26.2801,73.0048
26.279,73.0039
26.2782,73.0032
26.2774,73.0025
26.2774,73.0025
26.2774,73.0025
26.2774,73.0025
26.277,73.0022
26.2767,73.0019
26.2766,73.0018
26.2766,73.0018
26.2766,73.0017
26.2766,73.0017
26.2766,73.0017
26.2766,73.0016
