lat,lon
26.2715,73.0468
26.2714,73.0468
26.2713,73.0468
26.2712,73.0467
26.2711,73.0467
26.2711,73.0466
26.2709,73.0452
26.2708,73.0447
26.2708,73.0445
26.2707,73.0443
26.2706,73.044
26.2706,73.0439
26.2705,73.0438
26.2705,73.0437
26.2704,73.0436
26.2704,73.0436
26.2703,73.0435
26.2703,73.0435
26.2703,73.0434
26.2703,73.0434
26.2702,73.0434
26.2702,73.0434
26.2702,73.0434
26.2701,73.0433
26.2701,73.0431
26.27,73.0429
26.27,73.0425
26.27,73.0423
26.27,73.0422
26.27,73.0421
26.2701,73.042
26.2704,73.041
26.2705,73.0406
26.2707,73.04
26.2708,73.0398
26.2708,73.0398
26.2708,73.0396
26.2709,73.0394
26.2709,73.0392
26.2711,73.0387
26.2711,73.0386
26.2713,73.0382
26.2713,73.038
26.2714,73.0377
26.2714,73.0377
26.2715,73.0375
26.2715,73.0374
26.2715,73.0373
26.2715,73.0373
26.2716,73.0372
26.2716,73.0372
26.2716,73.0371
26.2716,73.0371
26.2716,73.037
26.2716,73.037
26.2718,73.037
26.272,73.0369
26.2721,73.0369
26.2724,73.0368
26.2726,73.0367
26.2738,73.0361
26.274,73.036
26.274,73.036
26.2741,73.036
26.2741,73.036
26.2742,73.036
26.2743,73.0361
26.2744,73.036
26.2745,73.036
26.2746,73.036
26.2748,73.0358
26.275,73.0357
26.2757,73.0351
26.2761,73.0347
26.2763,73.0346
26.2767,73.0343
26.2768,73.0342
26.277,73.034
26.2781,73.0331
26.2788,73.0326
26.2796,73.032
26.28,73.0317
26.2807,73.0312
26.2807,73.0312
26.2808,73.0312
26.2811,73.0309
26.2816,73.0305
26.2819,73.0303
26.282,73.0302
26.282,73.0302
26.282,73.0301
26.2821,73.0301
26.2821,73.0301
26.2831,73.0293
26.284,73.0286
26.2841,73.0286
26.2842,73.0284
26.285,73.0277
26.2852,73.0276
26.2855,73.0273
26.2856,73.0272
26.2857,73.0274
26.2859,73.0274
26.286,73.0273
26.2863,73.0273
26.2867,73.0272
26.287,73.027
26.2873,73.0268
26.2874,73.0267
26.2877,73.0264
26.2879,73.0263
26.288,73.0262
26.2881,73.0261
26.2882,73.0261
26.2884,73.0259
26.2885,73.0259
26.2892,73.0257
26.2894,73.0256
26.2904,73.0254
26.2906,73.0253
26.2916,73.025
26.2917,73.025
26.2931,73.0246
26.294,73.0243
26.2943,73.0243
26.2944,73.0243
26.2949,73.0241
26.2949,73.0242
26.295,73.0242
26.295,73.0242
26.2951,73.0242
26.2951,73.0242
26.2952,73.0242
26.2952,73.0241
26.2952,73.0241
26.2952,73.024
26.2952,73.024
26.2958,73.0238
26.296,73.0238
26.2963,73.0243
26.2964,73.0242
26.2969,73.0239
26.2971,73.0238
26.2973,73.0239
26.2973,73.0239
26.2975,73.0239
26.2977,73.024
26.2978,73.0239
26.298,73.0239
26.2983,73.0241
26.2984,73.0239
26.2986,73.0238
26.2988,73.0236
26.2989,73.0235
26.2989,73.0234
26.2992,73.0232
26.2991,73.0232
26.2994,73.023
26.2994,73.023
26.2995,73.023
26.2998,73.023
26.3002,73.023
26.3003,73.023
26.3004,73.023
26.3006,73.0229
26.3008,73.0228
26.301,73.0228
26.301,73.0227
26.301,73.0226
26.301,73.0226
26.301,73.0226
26.301,73.0226
26.301,73.0226
26.3009,73.0226
26.3009,73.0225
26.3008,73.0225
26.3008,73.0225
26.3008,73.0224
